condition,runs,successes,normalized_successes,success_percent,normalized_success_percent,mean_tokens,mean_seconds,median_seconds,calls,errors,accounting_complete,wrapper_normalizations,total_tokens,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,success_ci_low,success_ci_high,tokens_ci_low,tokens_ci_high,seconds_ci_low,seconds_ci_high,normalized_success_ci_low,normalized_success_ci_high
single,24,19,23,79.16666666666666,95.83333333333334,1159.9166666666667,4.618911734617238,3.199248387478292,24,0,True,4,27838,18018,9820,2262,7973,58.333333333333336,100.0,1018.8708333333334,1302.75,3.2307206477447226,6.278031694600697,87.5,100.0
sequential,24,20,24,83.33333333333334,100.0,3343.4583333333335,12.470445628341016,11.132403074938338,72,0,True,4,80243,58562,21681,7036,16062,58.333333333333336,100.0,3063.5770833333336,3663.2135416666665,10.325591110697253,15.101121395304169,100.0,100.0
parallel,24,19,22,79.16666666666666,91.66666666666666,3480.5,7.6931143165226485,6.042038431449328,72,0,True,3,83532,58721,24811,8114,19411,54.166666666666664,100.0,3159.6656249999996,3818.3802083333335,5.997953960249651,9.744307763946681,75.0,100.0
hierarchical,24,18,22,75.0,91.66666666666666,4532.083333333333,11.13134521159615,10.439414060034323,96,0,True,4,108770,81556,27214,2326,19174,50.0,95.83333333333334,4140.733333333334,4954.251041666666,8.999772794866658,13.839294950264351,79.16666666666666,100.0
reflexive,24,20,24,83.33333333333334,100.0,2527.375,9.541737031831872,6.95224275853252,54,0,True,4,60657,42908,17749,4700,15145,58.333333333333336,100.0,2180.1125,2883.1760416666666,6.717486183439784,12.758206738144509,100.0,100.0
sage,24,23,23,95.83333333333334,95.83333333333334,1765.0833333333333,7.344393412407953,4.600822703505401,38,0,True,0,42362,26129,16233,3257,12873,87.5,100.0,1309.078125,2350.5114583333334,4.6876234539005965,11.043029045184083,87.5,100.0
hierarchical_all_skills,24,20,22,83.33333333333334,91.66666666666666,8577.541666666666,10.619604463077849,9.444215633964632,96,0,True,2,205861,178866,26995,23729,19128,66.66666666666666,100.0,8154.290625000001,9027.0875,8.756814596720748,12.934644160149036,75.0,100.0
sage_single,24,21,21,87.5,87.5,1109.6666666666667,5.925393397337757,4.47802325343946,24,0,True,0,26632,16914,9718,3253,7823,75.0,100.0,973.0,1268.0041666666666,4.116038962051,8.503450442071212,75.0,100.0
sage_all_skills,24,22,22,91.66666666666666,91.66666666666666,2966.4583333333335,6.382673755443345,5.344071559025906,34,0,True,0,71195,57643,13552,26995,10756,79.16666666666666,100.0,2379.95625,3613.807291666666,4.839534995210973,8.276159690985878,79.16666666666666,100.0
