condition,runs,successes,success_percent,success_ci_low,success_ci_high,total_tokens,mean_tokens,tokens_ci_low,tokens_ci_high,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,mean_seconds,median_seconds,seconds_ci_low,seconds_ci_high,total_wall_seconds,calls,successes_per_100k_tokens,successes_per_minute,mean_peak_input_tokens,accounting_complete,infrastructure_or_protocol_errors,normalized_successes,normalized_success_percent,normalized_success_ci_low,normalized_success_ci_high,sql_wrapper_normalizations
single,24,20,83.33333333333333,62.5,100.0,27424,1142.6666666666667,1005.078125,1278.5874999999999,18018,9406,2262,7583,4.724578857344265,3.3891545369988307,3.3252940398991386,6.43469098080083,113.38989257626235,24,72.92882147024504,10.582953848315174,750.75,True,0,23,95.83333333333334,87.5,100.0,3
sequential,24,20,83.33333333333333,58.333333333333336,100.0,81845,3410.2083333333335,3093.7020833333336,3752.04375,58854,22991,5851,17050,13.718387878039115,11.770778318459634,10.895678562866912,17.276296374550654,329.24130907293875,72,24.436434724173743,3.644743131956619,854.0833333333334,True,0,24,100.0,100.0,100.0,4
parallel,24,19,79.16666666666667,54.166666666666664,100.0,84479,3519.9583333333335,3156.8302083333333,3904.2927083333334,58685,25794,7066,20411,8.141090237496732,6.042530735488981,5.647016299295379,11.583964678929743,195.38616569992155,72,22.490796529314977,5.834599373585321,900.7083333333334,True,0,23,95.83333333333334,87.5,100.0,4
hierarchical,24,20,83.33333333333333,58.333333333333336,100.0,104963,4373.458333333333,4012.25,4739.638541666666,80088,24875,2326,17163,11.190360701584723,10.012067870993633,9.042759930945977,13.892996108114675,268.56865683803335,95,19.054333431780723,4.468131218765741,991.7083333333334,True,0,24,100.0,100.0,100.0,4
reflexive,24,20,83.33333333333333,58.333333333333336,100.0,65133,2713.875,2372.6625,3064.276041666666,46153,18980,5762,15827,9.774450271497093,6.260081340500619,7.026186849602648,12.82235195246188,234.58680651593022,58,30.706400749236177,5.115377193723428,876.7083333333334,True,0,24,100.0,100.0,100.0,4
hierarchical_all_skills,24,21,87.5,66.66666666666666,100.0,204439,8518.291666666666,7987.415625000001,9037.002083333333,176943,27496,21521,19881,11.932887769071385,10.87635297945235,9.392811439826499,15.215093647868827,286.38930645771325,95,10.272012678598506,4.399605612320742,1998.125,True,0,24,100.0,100.0,100.0,3
